MXNET


TENSORFLOW
epoch 420, loss 0.3294, train acc 0.983, test acc 0.850
epoch 421, loss 0.3294, train acc 0.983, test acc 0.850
epoch 422, loss 0.3294, train acc 0.983, test acc 0.850
epoch 423, loss 0.3294, train acc 0.983, test acc 0.850
epoch 424, loss 0.3294, train acc 0.983, test acc 0.850
epoch 425, loss 0.3294, train acc 0.983, test acc 0.850
epoch 426, loss 0.3294, train acc 0.983, test acc 0.850
epoch 427, loss 0.3294, train acc 0.983, test acc 0.850
epoch 428, loss 0.3294, train acc 0.983, test acc 0.850
epoch 429, loss 0.3294, train acc 0.983, test acc 0.850
epoch 430, loss 0.3294, train acc 0.983, test acc 0.850
epoch 431, loss 0.3294, train acc 0.983, test acc 0.850
epoch 432, loss 0.3294, train acc 0.983, test acc 0.850
epoch 433, loss 0.3294, train acc 0.983, test acc 0.850
epoch 434, loss 0.3294, train acc 0.983, test acc 0.850
epoch 435, loss 0.3294, train acc 0.983, test acc 0.850
epoch 436, loss 0.3294, train acc 0.983, test acc 0.850
epoch 437, loss 0.3294, train acc 0.983, test acc 0.850
epoch 438, loss 0.3294, train acc 0.983, test acc 0.850
epoch 439, loss 0.3294, train acc 0.983, test acc 0.850
epoch 440, loss 0.3294, train acc 0.983, test acc 0.850
epoch 441, loss 0.3294, train acc 0.983, test acc 0.850
epoch 442, loss 0.3294, train acc 0.983, test acc 0.850
epoch 443, loss 0.3294, train acc 0.983, test acc 0.850
epoch 444, loss 0.3294, train acc 0.983, test acc 0.850
epoch 445, loss 0.3294, train acc 0.983, test acc 0.850
epoch 446, loss 0.3294, train acc 0.983, test acc 0.850
epoch 447, loss 0.3294, train acc 0.983, test acc 0.850
epoch 448, loss 0.3294, train acc 0.983, test acc 0.850
epoch 449, loss 0.3294, train acc 0.983, test acc 0.850
epoch 450, loss 0.3294, train acc 0.983, test acc 0.850
epoch 451, loss 0.3294, train acc 0.983, test acc 0.850
epoch 452, loss 0.3294, train acc 0.983, test acc 0.850
epoch 453, loss 0.3294, train acc 0.983, test acc 0.850
epoch 454, loss 0.3294, train acc 0.983, test acc 0.850
epoch 455, loss 0.3294, train acc 0.983, test acc 0.850
epoch 456, loss 0.3294, train acc 0.983, test acc 0.850
epoch 457, loss 0.3294, train acc 0.983, test acc 0.850
epoch 458, loss 0.3294, train acc 0.983, test acc 0.850
epoch 459, loss 0.3294, train acc 0.983, test acc 0.850
epoch 460, loss 0.3294, train acc 0.983, test acc 0.850
epoch 461, loss 0.3294, train acc 0.983, test acc 0.850
epoch 462, loss 0.3294, train acc 0.983, test acc 0.850
epoch 463, loss 0.3294, train acc 0.983, test acc 0.850
